# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060922149883509e+09 9.913753598052146117e+03 9.954445040836706539e+03 5.219057556440037297e+04 0.000000000000000000e+00
1.749060922149883509e+09 1.042455270490798648e+04 1.088143067799028177e+04 5.142115369757791632e+04 1.000000000000000000e+00
1.749060922149883509e+09 9.998839050162390777e+03 1.006568033725505302e+04 5.217152607629958220e+04 2.000000000000000000e+00
1.749060922206093073e+09 9.915134819758124650e+03 9.954065676880738465e+03 5.219110163379489677e+04 0.000000000000000000e+00
1.749060922206093073e+09 1.045454490146379794e+04 1.094220479672085276e+04 5.147157644258592336e+04 1.000000000000000000e+00
1.749060922206093073e+09 9.993200629322995155e+03 1.006011382635208247e+04 5.217351094293992355e+04 2.000000000000000000e+00
1.749060922262302399e+09 9.909230815394561432e+03 9.950500633130997812e+03 5.219130855741164123e+04 0.000000000000000000e+00
1.749060922262302399e+09 1.042549395982135320e+04 1.116174522531931871e+04 5.151987633893745806e+04 1.000000000000000000e+00
1.749060922262302399e+09 9.984384136724862401e+03 1.005591676256836399e+04 5.217447590495881013e+04 2.000000000000000000e+00
1.749060922318511963e+09 9.915034841262764530e+03 9.954861562867623434e+03 5.219064112350752112e+04 0.000000000000000000e+00
1.749060922318511963e+09 1.055055661589135343e+04 1.106261858462557029e+04 5.157250315296283952e+04 1.000000000000000000e+00
1.749060922318511963e+09 9.964349344298800133e+03 1.006813094180289954e+04 5.217742191583932436e+04 2.000000000000000000e+00
1.749060922374774933e+09 9.915168853819313881e+03 9.954885841321949556e+03 5.219110354955605726e+04 0.000000000000000000e+00
1.749060922374774933e+09 1.042374552311580737e+04 1.097419305517928115e+04 5.159561886280199542e+04 1.000000000000000000e+00
1.749060922374774933e+09 9.976038115047422252e+03 1.006034358882632478e+04 5.217793030772128986e+04 2.000000000000000000e+00
1.749060922430984497e+09 9.910256422936676245e+03 9.951371220175358758e+03 5.219227943779154884e+04 0.000000000000000000e+00
1.749060922430984497e+09 1.056763777970784031e+04 1.131246518862892481e+04 5.162918680660224345e+04 1.000000000000000000e+00
1.749060922430984497e+09 9.935400786068154048e+03 1.006376717614109839e+04 5.218379951024570619e+04 2.000000000000000000e+00
1.749060922487194061e+09 9.910784720147416010e+03 9.959066293490588578e+03 5.218975599378676270e+04 0.000000000000000000e+00
1.749060922487194061e+09 1.055671726983039116e+04 1.133034716574372396e+04 5.171621056443068665e+04 1.000000000000000000e+00
1.749060922487194061e+09 9.965047036849951837e+03 1.006454180957897552e+04 5.217668357927618490e+04 2.000000000000000000e+00
1.749060922543403625e+09 9.915251242209862539e+03 9.956200774330854983e+03 5.219233657651451358e+04 0.000000000000000000e+00
